index,latitude,longitude,height,speed_x,speed_y,speed_z,pitch,roll,yaw,satellite_count,flight_mode,is_motor_on,is_flying,battery_percent,battery_voltage,cell_1,cell_2,cell_3,cell_4,message
67,38.13218308775113,24.32972950581772,10.8,0.37,-0.1,0.0,-6.1000000000000005,15.0,-73.4,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
68,38.1321907131096,24.329727440488725,10.8,0.44,-0.1,0.0,-6.9,16.7,-73.5,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
69,38.13219977392411,24.32972502502201,10.8,0.52,-0.1,0.0,-6.800000000000001,17.1,-73.5,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
70,-5.849298438218896e-113,-4.513654367444493e-203,10.8,0.59,-0.11,0.0,-12.5,19.8,-74.9,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
71,38.1322214694296,24.329719808540467,10.700000000000001,0.63,-0.14,0.06,-27.0,-4.1000000000000005,-75.9,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
72,38.13223352454006,24.329715991389985,10.4,0.63,-0.19,0.16,-27.400000000000002,-10.0,-85.7,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
73,38.132244395799106,24.329710682960485,10.0,0.6,-0.25,0.19,-15.100000000000001,1.8,-94.7,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
74,38.13225552604181,24.32970450227959,9.700000000000001,0.62,-0.31,0.1,-16.3,2.1,-93.4,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
76,38.13227826283134,24.329687696307257,9.600000000000001,0.61,-0.38,0.0,1.3,-6.4,-94.2,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
77,38.13228900064876,24.32967952302144,9.600000000000001,0.56,-0.34,0.0,14.4,-22.6,-95.9,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
78,38.13229843731416,24.32967309869002,9.600000000000001,0.48,-0.27,0.0,16.3,-24.700000000000003,-94.7,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
